info: socket.io started
hey 0 [ 'hey', 'hey' ]
hey 1 [ 'hey', 'hey' ]
serialPort: [object Object]
serialPort: [object Object]
opened
opened
[ 0.02, 0.25, 8.31, 8.66 ]
[ 0, 0.38, 8.31, 8.56 ]
[ 0.01, 0.25, 8.31, 8.59 ]
[ 0.01, 0.26, 8.35, 8.52 ]
[ 0.01, 0.35, 8.31, 8.6 ]
[ 0.01, 0.26, 8.34, 8.57 ]
[ 0, 0.25, 8.31, 8.6 ]
[ 0.02, 0.26, 8.32, 8.63 ]
[ 0.01, 0.36, 8.32, 8.65 ]
[ 0.01, 0.25, 8.33, 8.66 ]
[ 0, 0.25, 8.36, 8.56 ]
[ 0.01, 0.37, 8.34, 8.59 ]
[ 0, 0.25, 8.34, 8.65 ]
[ 0.01, 0.26, 8.3, 8.62 ]
[ 0, 0.27, 8.35, 8.56 ]
[ 0, 0.38, 8.3, 8.56 ]
[ 0.02, 0.25, 8.34, 8.67 ]
[ 0, 0.25, 8.38, 8.69 ]
[ 0, 0.38, 8.35, 8.57 ]
[ 0, 0.24, 8.36, 8.64 ]
[ 0, 0.25, 8.37, 8.54 ]
[ 0, 0.25, 8.39, 8.59 ]
[ 0, 0.37, 8.32, 8.58 ]
[ 0, 0.26, 8.39, 8.63 ]
[ 0, 0.25, 8.37, 8.72 ]
[ 0.02, 0.37, 8.31, 8.62 ]
[ 0, 0.24, 8.34, 8.61 ]
[ 0, 0.25, 8.35, 8.66 ]
[ 0.01, 0.37, 8.34, 8.64 ]
[ 0, 0.25, 8.32, 8.57 ]
[ 0.02, 0.25, 8.31, 8.64 ]
[ 0.02, 0.26, 8.34, 8.73 ]
[ 0.01, 0.37, 8.34, 8.69 ]
[ 0.02, 0.26, 8.32, 8.67 ]
[ 0.01, 0.26, 8.38, 8.67 ]
[ 0, 0.37, 8.31, 8.62 ]
[ 0, 0.25, 8.34, 8.64 ]
[ 0.01, 0.25, 8.31, 8.68 ]
[ 0, 0.25, 8.34, 8.6 ]
[ 0, 0.37, 8.32, 8.7 ]
[ 0, 0.25, 8.31, 8.65 ]
[ 0, 0.26, 8.31, 8.56 ]
[ 0, 0.37, 8.29, 8.53 ]
[ 0, 0.25, 8.32, 8.53 ]
[ 0.01, 0.25, 8.33, 8.62 ]
[ 0, 0.36, 8.34, 8.61 ]
[ 0, 0.26, 8.34, 8.65 ]
[ 0.01, 0.25, 8.33, 8.57 ]
[ 0.01, 0.25, 8.3, 8.62 ]
[ 0.01, 0.37, 8.34, 8.62 ]
[ 0, 0.26, 8.37, 8.64 ]
[ 0.01, 0.26, 8.37, 8.64 ]
[ 0, 0.38, 8.37, 8.62 ]
[ 0, 0.25, 8.3, 8.61 ]
[ 0, 0.26, 8.32, 8.62 ]
[ 0.01, 0.25, 8.35, 8.63 ]
[ 0, 0.35, 8.33, 8.62 ]
[ 0.01, 0.25, 8.38, 8.64 ]
[ 0.01, 0.25, 8.32, 8.59 ]
[ 0.01, 0.38, 8.28, 8.66 ]
[ 0, 0.26, 8.31, 8.54 ]
[ 0, 0.27, 8.35, 8.56 ]
[ 0.01, 0.31, 8.31, 8.54 ]
[ 0.01, 0.28, 8.33, 8.62 ]
[ 0, 0.25, 8.32, 8.58 ]
[ 0.01, 0.26, 8.38, 8.56 ]
[ 0, 0.38, 8.34, 8.71 ]
[ 0.01, 0.25, 8.35, 8.69 ]
[ 0, 0.26, 8.31, 8.6 ]
[ 0, 0.37, 8.31, 8.66 ]
[ 0.02, 0.27, 8.36, 8.67 ]
[ 0, 0.25, 8.36, 8.61 ]
[ 0.01, 0.26, 8.32, 8.63 ]
[ 0, 0.36, 8.29, 8.56 ]
[ 0.01, 0.25, 8.31, 8.56 ]
[ 0.01, 0.25, 8.34, 8.52 ]
[ 0.01, 0.36, 8.32, 8.63 ]
[ 0, 0.25, 8.31, 8.61 ]
[ 0.01, 0.27, 8.31, 8.51 ]
[ 0, 0.27, 8.32, 8.55 ]
[ 0.01, 0.37, 8.32, 8.58 ]
[ 0, 0.26, 8.35, 8.54 ]
[ 0, 0.26, 8.33, 8.54 ]
[ 0.01, 0.38, 8.31, 8.55 ]
[ 0.01, 0.26, 8.38, 8.63 ]
[ 0, 0.26, 8.35, 8.58 ]
[ 0.01, 0.38, 8.33, 8.64 ]
[ 0, 0.26, 8.3, 8.63 ]
[ 0.01, 0.26, 8.31, 8.61 ]
[ 0, 0.26, 8.31, 8.58 ]
[ 0.02, 0.36, 8.3, 8.58 ]
[ 0.01, 0.25, 8.36, 8.64 ]
[ 0, 0.26, 8.32, 8.56 ]
[ 0, 0.38, 8.35, 8.59 ]
[ 0.01, 0.25, 8.29, 8.66 ]
[ 0, 0.26, 8.27, 8.57 ]
[ 0, 0.26, 8.31, 8.51 ]
[ 0, 0.37, 8.29, 8.54 ]
[ 0.02, 0.26, 8.32, 8.48 ]
[ 0, 0.25, 8.32, 8.45 ]
[ 0.01, 0.37, 8.33, 8.5 ]
[ 0.01, 0.25, 8.32, 8.57 ]
[ 0.01, 0.25, 8.32, 8.6 ]
[ 0, 0.36, 8.35, 8.6 ]
[ 0, 0.3, 8.3, 8.69 ]
[ 0, 0.25, 8.29, 8.72 ]
[ 0.01, 0.27, 8.36, 8.69 ]
[ 0, 0.37, 8.33, 8.66 ]
[ 0.01, 0.26, 8.33, 8.75 ]
[ 0, 0.26, 8.35, 8.65 ]
[ 0.01, 0.38, 8.35, 8.54 ]
[ 0, 0.25, 8.3, 8.54 ]
[ 0, 0.26, 8.31, 8.59 ]
[ 0, 0.26, 8.34, 8.56 ]
[ 0.01, 0.37, 8.25, 8.6 ]
[ 0, 0.26, 8.28, 8.65 ]
[ 0, 0.28, 8.3, 8.63 ]
[ 0.01, 0.39, 8.28, 8.6 ]
[ 0.01, 0.25, 8.29, 8.66 ]
[ 0.01, 0.26, 8.31, 8.53 ]
[ 0.02, 0.33, 8.27, 8.62 ]
[ 0, 0.32, 8.3, 8.62 ]
[ 0.01, 0.25, 8.28, 8.6 ]
[ 0, 0.26, 8.28, 8.6 ]
[ 0, 0.38, 8.36, 8.55 ]
[ 0, 0.26, 8.33, 8.59 ]
[ 0, 0.27, 8.31, 8.55 ]
[ 0, 0.38, 8.3, 8.52 ]
[ 0.02, 0.25, 8.35, 8.64 ]
[ 0.01, 0.25, 8.35, 8.66 ]
[ 0, 0.26, 8.34, 8.59 ]
[ 0.02, 0.36, 8.33, 8.6 ]
[ 0, 0.25, 8.3, 8.68 ]
[ 0.01, 0.26, 8.31, 8.68 ]
[ 0, 0.38, 8.38, 8.62 ]
[ 0, 0.25, 8.33, 8.62 ]
[ 0.02, 0.26, 8.32, 8.61 ]
[ 0.02, 0.26, 8.31, 8.56 ]
[ 0, 0.37, 8.32, 8.52 ]
[ 0.01, 0.26, 8.31, 8.55 ]
[ 0, 0.25, 8.32, 8.51 ]
[ 0.02, 0.37, 8.37, 8.54 ]
[ 0, 0.26, 8.32, 8.61 ]
[ 0, 0.26, 8.37, 8.56 ]
[ 0.01, 0.36, 8.32, 8.53 ]
[ 0.02, 0.28, 8.36, 8.61 ]
[ 0.01, 0.25, 8.29, 8.64 ]
[ 0, 0.25, 8.36, 8.57 ]
[ 0, 0.37, 8.34, 8.62 ]
[ 0, 0.25, 8.35, 8.56 ]
[ 0, 0.25, 8.36, 8.61 ]
[ 0.02, 0.37, 8.4, 8.61 ]
[ 0.02, 0.25, 0.32, 8.65 ]
[ 0, 0.25, 0.24, 8.65 ]
[ 0.01, 0.26, 0.36, 8.66 ]
[ 0, 0.36, 0.22, 8.67 ]
[ 0.01, 0.25, 0.23, 8.75 ]
[ 0.02, 0.26, 0.35, 8.62 ]
[ 0, 0.37, 0.23, 8.61 ]
[ 0, 0.25, 0.34, 8.62 ]
[ 0, 0.26, 0.28, 8.6 ]
[ 0, 0.28, 0.33, 8.73 ]
[ 0.02, 0.31, 0.23, 8.6 ]
[ 0.01, 0.26, 0.22, 8.57 ]
[ 0, 0.26, 0.35, 8.6 ]
[ 0, 0.37, 0.22, 8.63 ]
[ 0.01, 0.24, 0.23, 8.65 ]
[ 0.02, 0.25, 0.35, 8.62 ]
[ 0, 0.37, 0.23, 8.58 ]
[ 0, 0.25, 0.37, 8.59 ]
[ 0, 0.25, 0.23, 8.67 ]
